,Unnamed: 0,Temp,Humidity,Wind,Precipitation,Pressure
60,60,25.88,0.54,4.23,rain,1015.12
61,61,25.77,0.55,4.28,rain,1015.09
62,62,25.66,0.55,4.36,rain,1015.06
63,63,25.55,0.55,4.48,rain,1015.03
64,64,25.44,0.55,4.62,rain,1015.0
65,65,25.55,0.56,4.66,rain,1014.94
66,66,25.66,0.57,4.7,rain,1014.89
67,67,25.77,0.58,4.74,rain,1014.83
68,68,25.88,0.59,4.78,rain,1014.77
69,69,25.88,0.59,4.59,rain,1014.7
70,70,25.89,0.59,4.4,rain,1014.64
71,71,25.89,0.59,4.2,rain,1014.57
72,72,25.9,0.59,4.01,rain,1014.5
73,73,25.78,0.6,4.25,rain,1014.43
74,74,25.67,0.61,4.56,rain,1014.37
75,75,25.55,0.61,4.95,rain,1014.3
76,76,25.43,0.62,5.39,rain,1014.23
77,77,25.55,0.62,5.23,rain,1014.19
78,78,25.67,0.62,5.11,rain,1014.14
79,79,25.78,0.63,5.01,rain,1014.09
80,80,25.9,0.63,4.94,rain,1014.05
81,81,25.78,0.62,4.83,rain,1014.03
82,82,25.65,0.61,4.73,rain,1014.01
83,83,25.52,0.6,4.64,rain,1014.0
84,84,25.39,0.6,4.58,rain,1013.98
85,85,25.14,0.6,4.22,rain,1014.0
86,86,24.89,0.6,3.85,rain,1014.02
87,87,24.64,0.6,3.49,rain,1014.03
88,88,24.39,0.6,3.12,rain,1014.05
89,89,24.02,0.62,2.91,rain,1014.1
90,90,23.64,0.64,2.7,rain,1014.15
91,91,23.27,0.66,2.51,rain,1014.2
92,92,22.9,0.68,2.32,rain,1014.25
93,93,22.81,0.7,2.08,rain,1014.32
94,94,22.72,0.72,1.84,rain,1014.39
95,95,22.63,0.74,1.6,rain,1014.46
96,96,22.54,0.77,1.35,rain,1014.53
97,97,22.08,0.79,1.1,rain,1014.6
98,98,21.61,0.81,0.85,rain,1014.67
99,99,21.15,0.83,0.61,rain,1014.74
100,100,20.69,0.85,0.39,rain,1014.82
101,101,20.69,0.84,0.23,rain,1014.88
102,102,20.69,0.84,0.62,rain,1014.94
103,103,20.69,0.83,1.06,rain,1015.0
104,104,21.19,0.77,2.26,rain,1014.93
105,105,21.78,0.74,2.11,rain,1014.98
106,106,22.37,0.71,1.95,rain,1015.02
107,107,22.95,0.69,1.8,rain,1015.06
108,108,23.43,0.66,1.36,rain,1015.09
109,109,23.91,0.63,1.41,rain,1015.11
110,110,24.39,0.61,1.9,rain,1015.14
111,111,24.88,0.58,2.6,rain,1015.16
112,112,24.99,0.58,2.07,rain,1015.16
113,113,25.1,0.58,1.74,rain,1015.16
114,114,25.21,0.58,1.73,rain,1015.16
115,115,25.32,0.58,2.03,rain,1015.16
116,116,25.35,0.59,2.43,rain,1015.13
117,117,25.38,0.59,2.83,rain,1015.1
118,118,25.41,0.59,3.24,rain,1015.07
119,119,25.44,0.6,3.64,rain,1015.04
120,120,25.41,0.61,3.33,rain,1014.98
121,121,25.38,0.62,3.03,rain,1014.92
122,122,25.35,0.63,2.73,rain,1014.87
123,123,25.32,0.64,2.43,rain,1014.81
124,124,25.26,0.64,2.56,rain,1014.74
125,125,25.19,0.64,2.7,rain,1014.67
126,126,25.13,0.64,2.85,rain,1014.6
127,127,25.06,0.64,3.01,rain,1014.53
128,128,25.11,0.65,2.79,rain,1014.47
129,129,25.15,0.66,2.58,rain,1014.4
130,130,25.19,0.67,2.38,rain,1014.34
131,131,25.24,0.68,2.2,rain,1014.27
132,132,25.63,0.66,1.41,rain,1014.22
133,133,26.02,0.63,1.15,rain,1014.18
134,134,26.41,0.61,1.7,rain,1014.13
135,135,26.81,0.59,2.58,rain,1014.08
136,136,26.31,0.6,1.14,rain,1014.07
137,137,25.82,0.62,0.62,rain,1014.05
138,138,25.33,0.63,1.98,rain,1014.03
139,139,24.83,0.65,3.44,rain,1014.02
140,140,24.68,0.66,3.36,rain,1014.04
141,141,24.54,0.66,3.27,rain,1014.06
142,142,24.39,0.67,3.19,rain,1014.07
143,143,24.24,0.68,3.12,rain,1014.09
144,144,23.77,0.69,2.84,rain,1014.14
145,145,23.31,0.7,2.57,rain,1014.19
146,146,22.84,0.71,2.3,rain,1014.24
147,147,22.37,0.73,2.03,rain,1014.29
148,148,22.2,0.74,1.76,rain,1014.36
149,149,22.03,0.75,1.51,rain,1014.43
150,150,21.86,0.76,1.27,rain,1014.5
151,151,21.69,0.78,1.07,rain,1014.57
152,152,21.44,0.79,1.01,rain,1014.64
153,153,21.19,0.79,1.0,rain,1014.71
154,154,20.94,0.8,1.06,rain,1014.78
155,155,20.69,0.81,1.16,rain,1014.86
156,156,20.43,0.82,1.16,rain,1014.92
157,157,20.18,0.84,1.17,rain,1014.98
158,158,19.93,0.85,1.2,rain,1015.04
159,159,22.84,0.76,1.4,rain,1015.1
160,160,23.23,0.74,1.2,rain,1015.13
161,161,23.63,0.71,1.33,rain,1015.15
162,162,24.02,0.68,1.71,rain,1015.18
163,163,24.41,0.65,2.23,rain,1015.2
164,164,24.58,0.64,2.45,rain,1015.2
165,165,24.74,0.63,2.95,rain,1015.2
166,166,24.9,0.62,3.63,rain,1015.2
167,167,25.06,0.61,4.38,rain,1015.2
168,168,25.32,0.61,4.0,rain,1015.17
169,169,25.58,0.61,3.62,rain,1015.14
170,170,25.84,0.6,3.25,rain,1015.1
171,171,26.09,0.6,2.9,rain,1015.07
172,172,26.19,0.59,2.97,rain,1015.02
173,173,26.29,0.58,3.05,rain,1014.96
174,174,26.39,0.57,3.14,rain,1014.9
175,175,26.49,0.55,3.22,rain,1014.85
176,176,26.51,0.57,3.31,rain,1014.78
177,177,26.52,0.58,3.4,rain,1014.71
178,178,26.53,0.6,3.49,rain,1014.64
179,179,26.54,0.61,3.59,rain,1014.57
180,180,26.82,0.58,3.39,rain,1014.51
181,181,27.08,0.56,3.19,rain,1014.44
182,182,27.36,0.53,2.99,rain,1014.37
183,183,27.62,0.51,2.79,rain,1014.31
184,184,27.43,0.52,2.93,rain,1014.26
185,185,27.24,0.53,3.08,rain,1014.21
186,186,27.06,0.55,3.23,rain,1014.17
187,187,26.87,0.56,3.4,rain,1014.12
188,188,26.63,0.57,3.51,rain,1014.11
189,189,26.38,0.58,3.62,rain,1014.09
190,190,26.14,0.59,3.73,rain,1014.07
191,191,25.9,0.6,3.84,rain,1014.06
192,192,25.53,0.61,3.55,rain,1014.08
193,193,25.16,0.63,3.25,rain,1014.09
194,194,24.79,0.65,2.96,rain,1014.11
195,195,24.42,0.66,2.68,rain,1014.13
196,196,24.29,0.68,2.51,rain,1014.18
197,197,24.15,0.69,2.35,rain,1014.23
198,198,24.01,0.71,2.19,rain,1014.28
199,199,23.87,0.72,2.04,rain,1014.33
200,200,23.72,0.73,1.96,rain,1014.4
201,201,23.56,0.75,1.89,rain,1014.47
202,202,23.4,0.76,1.82,rain,1014.54
203,203,23.24,0.77,1.76,rain,1014.61
204,204,23.15,0.78,2.34,rain,1014.68
205,205,23.06,0.8,2.92,rain,1014.75
206,206,22.97,0.81,3.51,rain,1014.83
207,207,22.88,0.82,4.1,rain,1014.9
208,208,22.72,0.83,3.53,rain,1014.96
209,209,22.56,0.85,2.96,rain,1015.02
210,210,22.4,0.86,2.41,rain,1015.08
211,211,21.68,0.89,1.47,rain,1015.24
212,212,21.5,0.9,1.82,rain,1015.27
213,213,21.31,0.9,1.51,rain,1015.27
214,214,21.13,0.89,1.26,rain,1015.28
215,215,20.94,0.89,1.12,rain,1015.28
216,216,22.85,0.75,2.18,rain,1015.14
217,217,23.29,0.72,2.11,rain,1015.17
218,218,23.74,0.69,2.03,rain,1015.19
219,219,24.19,0.67,1.95,rain,1015.22
220,220,24.63,0.64,1.87,rain,1015.24
221,221,25.14,0.61,1.88,rain,1015.24
222,222,25.66,0.58,1.91,rain,1015.24
223,223,26.17,0.55,1.98,rain,1015.24
224,224,26.68,0.52,2.07,rain,1015.24
225,225,26.92,0.52,1.96,rain,1015.21
226,226,27.16,0.52,1.93,rain,1015.17
227,227,27.39,0.51,1.97,rain,1015.14
228,228,27.63,0.51,2.08,rain,1015.11
229,229,27.59,0.5,2.12,rain,1015.05
230,230,27.56,0.49,2.29,rain,1015.0
231,231,27.52,0.48,2.57,rain,1014.94
232,232,27.48,0.47,2.93,rain,1014.89
233,233,27.62,0.46,3.17,rain,1014.82
234,234,27.75,0.46,3.41,rain,1014.75
235,235,27.88,0.45,3.64,rain,1014.68
236,236,28.02,0.45,3.88,rain,1014.61
237,237,28.24,0.45,4.28,rain,1014.54
238,238,28.46,0.45,4.7,rain,1014.48
239,239,28.68,0.45,5.12,rain,1014.41
240,240,28.91,0.46,5.56,rain,1014.35
241,241,28.66,0.46,5.44,rain,1014.3
242,242,28.41,0.46,5.32,rain,1014.25
243,243,28.15,0.47,5.21,rain,1014.21
244,244,27.9,0.47,5.1,rain,1014.16
245,245,27.65,0.48,4.8,rain,1014.14
246,246,27.4,0.49,4.51,rain,1014.13
247,247,27.15,0.5,4.22,rain,1014.11
248,248,26.9,0.51,3.93,rain,1014.1
249,249,26.65,0.52,3.7,rain,1014.11
250,250,26.4,0.54,3.5,rain,1014.13
251,251,26.15,0.55,3.34,rain,1014.15
252,252,25.9,0.56,3.23,rain,1014.17
253,253,25.39,0.59,3.0,rain,1014.22
254,254,24.88,0.62,2.76,rain,1014.27
255,255,24.37,0.65,2.52,rain,1014.32
256,256,23.86,0.68,2.29,rain,1014.37
257,257,23.71,0.71,2.23,rain,1014.44
258,258,23.55,0.74,2.17,rain,1014.51
259,259,23.39,0.77,2.13,rain,1014.58
260,260,23.24,0.8,2.1,rain,1014.65
261,261,22.9,0.82,1.71,rain,1014.72
262,262,22.56,0.84,1.37,rain,1014.79
263,263,22.22,0.85,1.11,rain,1014.87
264,264,21.89,0.87,1.0,rain,1014.94
265,265,21.73,0.88,0.94,rain,1015.0
266,266,21.57,0.89,1.08,rain,1015.06
267,267,21.41,0.89,1.36,rain,1015.12
268,268,23.68,0.67,1.99,rain,1015.18
269,269,24.11,0.64,1.92,rain,1015.21
270,270,24.55,0.6,1.84,rain,1015.23
271,271,24.98,0.56,1.77,rain,1015.26
272,272,25.42,0.53,1.69,rain,1015.28
273,273,25.84,0.52,0.84,rain,1015.28
274,274,26.26,0.51,0.2,rain,1015.28
275,275,26.68,0.51,0.93,rain,1015.28
276,276,27.11,0.5,1.77,rain,1015.28
277,277,27.09,0.51,2.13,rain,1015.24
278,278,27.08,0.51,2.49,rain,1015.21
279,279,27.06,0.52,2.84,rain,1015.18
280,280,27.05,0.52,3.2,rain,1015.15
281,281,27.34,0.51,3.25,rain,1015.09
282,282,27.64,0.49,3.33,rain,1015.04
283,283,27.93,0.48,3.42,rain,1014.98
284,284,28.23,0.47,3.52,rain,1014.92
285,285,28.17,0.49,3.79,rain,1014.85
286,286,28.12,0.51,4.06,rain,1014.79
287,287,28.07,0.53,4.33,rain,1014.72
288,288,28.02,0.55,4.61,rain,1014.65
289,289,28.11,0.53,4.78,rain,1014.58
290,290,28.21,0.51,4.95,rain,1014.52
291,291,28.31,0.49,5.12,rain,1014.45
292,292,28.4,0.47,5.3,rain,1014.38
293,293,28.02,0.48,5.15,rain,1014.34
294,294,27.63,0.5,5.0,rain,1014.29
295,295,27.25,0.52,4.85,rain,1014.24
296,296,26.87,0.53,4.69,rain,1014.2
297,297,26.81,0.54,4.33,rain,1014.18
298,298,26.76,0.54,3.97,rain,1014.17
299,299,26.69,0.55,3.62,rain,1014.15
300,300,26.64,0.55,3.26,rain,1014.13
301,301,26.46,0.57,3.11,rain,1014.15
302,302,26.27,0.59,2.95,rain,1014.17
303,303,26.09,0.6,2.79,rain,1014.19
304,304,25.9,0.62,2.64,rain,1014.21
305,305,25.58,0.63,2.38,rain,1014.26
306,306,25.27,0.64,2.11,rain,1014.31
307,307,24.94,0.65,1.85,rain,1014.36
308,308,24.63,0.66,1.59,rain,1014.41
309,309,24.28,0.7,0.99,rain,1014.48
310,310,23.93,0.75,0.47,rain,1014.55
311,311,23.58,0.79,0.48,rain,1014.62
312,312,23.24,0.83,1.0,rain,1014.69
313,313,23.06,0.83,1.15,rain,1014.76
314,314,22.88,0.82,1.45,rain,1014.83
315,315,22.69,0.82,1.83,rain,1014.91
316,316,22.51,0.81,2.25,rain,1014.98
317,317,22.19,0.82,1.91,rain,1015.04
318,318,21.88,0.82,1.57,rain,1015.1
319,319,21.57,0.82,1.24,rain,1015.16
320,320,23.28,0.74,2.32,rain,1015.22
321,321,23.48,0.74,2.32,rain,1015.25
322,322,23.68,0.73,2.34,rain,1015.27
323,323,23.88,0.73,2.41,rain,1015.3
324,324,24.08,0.72,2.5,rain,1015.32
325,325,24.48,0.71,2.14,rain,1015.32
326,326,24.88,0.7,1.86,rain,1015.32
327,327,25.28,0.68,1.69,rain,1015.32
328,328,25.69,0.67,1.66,rain,1015.31
329,329,26.0,0.66,1.96,rain,1015.28
330,330,26.32,0.66,2.35,rain,1015.25
331,331,26.63,0.65,2.78,rain,1015.22
332,332,26.95,0.64,3.23,rain,1015.19
333,333,26.99,0.65,3.16,rain,1015.13
334,334,27.03,0.65,3.1,rain,1015.07
335,335,27.07,0.65,3.07,rain,1015.02
336,336,27.11,0.65,3.05,rain,1014.96
337,337,27.29,0.62,2.91,rain,1014.89
338,338,27.48,0.6,2.78,rain,1014.82
339,339,27.67,0.58,2.67,rain,1014.75
340,340,27.86,0.55,2.58,rain,1014.68
341,341,27.87,0.56,2.79,rain,1014.62
342,342,27.88,0.58,3.02,rain,1014.55
343,343,27.89,0.59,3.29,rain,1014.49
344,344,27.9,0.6,3.59,rain,1014.42
345,345,27.38,0.63,3.87,rain,1014.37
346,346,26.86,0.65,4.17,rain,1014.33
347,347,26.33,0.68,4.49,rain,1014.28
348,348,25.81,0.7,4.82,rain,1014.24
349,349,25.71,0.68,4.36,rain,1014.22
350,350,25.6,0.65,3.93,rain,1014.2
351,351,25.5,0.62,3.56,rain,1014.19
352,352,25.39,0.6,3.27,rain,1014.17
353,353,25.11,0.61,2.45,rain,1014.19
354,354,24.82,0.63,1.63,rain,1014.21
355,355,24.53,0.64,0.81,rain,1014.23
356,356,24.24,0.66,0.0,rain,1014.25
357,357,23.99,0.69,0.55,rain,1014.3
358,358,23.74,0.72,1.1,rain,1014.35
359,359,23.49,0.74,1.65,rain,1014.4
360,360,23.24,0.77,2.19,rain,1014.45
361,361,23.24,0.79,2.28,rain,1014.52
362,362,23.24,0.81,2.36,rain,1014.59
363,363,23.24,0.83,2.45,rain,1014.66
364,364,23.24,0.85,2.53,rain,1014.73
365,365,22.99,0.87,2.25,rain,1014.8
366,366,22.74,0.88,1.98,rain,1014.87
367,367,22.5,0.89,1.73,rain,1014.95
368,368,22.25,0.91,1.5,rain,1015.02
369,369,22.17,0.91,1.31,rain,1015.08
370,370,22.08,0.92,1.13,rain,1015.14
371,371,21.99,0.93,0.97,rain,1015.2
372,372,23.1,0.81,2.89,rain,1015.26
373,373,23.58,0.77,2.4,rain,1015.28
374,374,24.07,0.74,1.92,rain,1015.31
375,375,24.55,0.71,1.48,rain,1015.33
376,376,25.03,0.67,1.13,rain,1015.36
377,377,25.49,0.65,1.06,rain,1015.36
378,378,25.96,0.63,1.0,rain,1015.36
379,379,26.42,0.61,0.96,rain,1015.35
380,380,26.88,0.58,0.93,rain,1015.35
381,381,26.74,0.59,0.74,rain,1015.32
382,382,26.61,0.6,1.42,rain,1015.29
383,383,26.48,0.62,2.3,rain,1015.26
384,384,26.34,0.63,3.21,rain,1015.22
385,385,26.46,0.63,3.48,rain,1015.17
386,386,26.57,0.63,3.76,rain,1015.11
387,387,26.68,0.63,4.03,rain,1015.05
388,388,26.8,0.63,4.31,rain,1015.0
389,389,26.92,0.64,4.43,rain,1014.93
390,390,27.03,0.64,4.56,rain,1014.86
391,391,27.15,0.64,4.68,rain,1014.79
392,392,27.27,0.64,4.81,rain,1014.72
393,393,27.15,0.64,5.02,rain,1014.66
394,394,27.03,0.63,5.23,rain,1014.59
395,395,26.92,0.63,5.44,rain,1014.52
396,396,26.8,0.62,5.67,rain,1014.46
397,397,26.92,0.61,5.57,rain,1014.41
398,398,27.04,0.6,5.49,rain,1014.37
399,399,27.17,0.59,5.42,rain,1014.32
400,400,27.29,0.58,5.37,rain,1014.27
401,401,27.06,0.59,5.02,rain,1014.26
402,402,26.82,0.61,4.68,rain,1014.24
403,403,26.58,0.62,4.36,rain,1014.23
404,404,26.34,0.64,4.05,rain,1014.21
405,405,26.21,0.65,3.79,rain,1014.23
406,406,26.07,0.65,3.52,rain,1014.25
407,407,25.94,0.66,3.26,rain,1014.27
408,408,25.8,0.67,3.0,rain,1014.29
409,409,25.57,0.68,2.54,rain,1014.34
410,410,25.34,0.69,2.08,rain,1014.39
411,411,25.11,0.7,1.63,rain,1014.44
412,412,24.87,0.71,1.19,rain,1014.49
413,413,24.53,0.73,1.17,rain,1014.56
414,414,24.18,0.76,1.18,rain,1014.63
415,415,23.83,0.78,1.2,rain,1014.7
416,416,23.49,0.81,1.23,rain,1014.77
417,417,23.46,0.81,1.02,rain,1014.84
418,418,23.43,0.81,0.81,rain,1014.91
419,419,23.41,0.81,0.6,rain,1014.99
420,420,23.38,0.81,0.39,rain,1015.06
421,421,23.13,0.81,0.38,rain,1015.12
422,422,22.88,0.82,0.37,rain,1015.18
423,423,22.63,0.83,0.37,rain,1015.24
424,424,24.24,0.68,2.0,rain,1015.3
425,425,24.53,0.68,1.77,rain,1015.32
426,426,24.83,0.67,1.6,rain,1015.35
427,427,25.12,0.67,1.51,rain,1015.37
428,428,25.42,0.67,1.52,rain,1015.4
429,429,25.92,0.64,0.98,rain,1015.4
430,430,26.42,0.61,0.55,rain,1015.39
431,431,26.92,0.59,0.57,rain,1015.39
432,432,27.42,0.56,1.02,rain,1015.39
433,433,27.53,0.57,0.88,rain,1015.36
434,434,27.65,0.58,1.22,rain,1015.33
435,435,27.77,0.59,1.8,rain,1015.29
436,436,27.88,0.6,2.44,rain,1015.26
437,437,27.86,0.6,2.65,rain,1015.21
438,438,27.84,0.6,2.87,rain,1015.15
439,439,27.82,0.6,3.12,rain,1015.09
440,440,27.8,0.61,3.37,rain,1015.03
441,441,27.91,0.59,3.42,rain,1014.97
442,442,28.03,0.58,3.46,rain,1014.9
443,443,28.14,0.56,3.51,rain,1014.83
444,444,28.26,0.54,3.56,rain,1014.76
445,445,28.14,0.57,3.4,rain,1014.69
446,446,28.03,0.6,3.26,rain,1014.63
447,447,27.91,0.62,3.13,rain,1014.56
448,448,27.8,0.65,3.03,rain,1014.5
449,449,27.91,0.64,3.37,rain,1014.45
450,450,28.03,0.62,3.73,rain,1014.4
451,451,28.14,0.61,4.1,rain,1014.36
452,452,28.26,0.6,4.48,rain,1014.31
453,453,28.02,0.61,4.64,rain,1014.3
454,454,27.79,0.62,4.81,rain,1014.28
455,455,27.56,0.63,4.98,rain,1014.27
456,456,27.33,0.64,5.16,rain,1014.25
457,457,27.22,0.65,4.65,rain,1014.27
458,458,27.1,0.66,4.14,rain,1014.29
459,459,26.99,0.66,3.63,rain,1014.31
460,460,26.88,0.67,3.12,rain,1014.33
461,461,26.38,0.69,2.89,rain,1014.38
462,462,25.87,0.71,2.67,rain,1014.43
463,463,25.37,0.74,2.46,rain,1014.48
464,464,24.87,0.76,2.28,rain,1014.53
465,465,24.64,0.78,1.84,rain,1014.6
466,466,24.4,0.8,1.41,rain,1014.67
467,467,24.17,0.82,0.98,rain,1014.74
468,468,23.93,0.84,0.58,rain,1014.81
469,469,23.62,0.84,0.56,rain,1014.88
470,470,23.31,0.84,0.55,rain,1014.95
471,471,22.99,0.84,0.56,rain,1015.03
472,472,22.68,0.85,0.59,rain,1015.1
473,473,22.68,0.85,0.52,rain,1015.16
474,474,22.68,0.86,0.49,rain,1015.22
475,475,22.68,0.87,0.49,rain,1015.28
476,476,23.84,0.71,1.22,rain,1015.34
477,477,24.34,0.68,1.24,rain,1015.36
478,478,24.85,0.66,1.26,rain,1015.39
479,479,25.35,0.64,1.28,rain,1015.41
480,480,25.86,0.62,1.31,rain,1015.44
481,481,26.38,0.6,1.02,rain,1015.44
482,482,26.91,0.58,0.83,rain,1015.43
483,483,27.43,0.56,0.8,rain,1015.43
484,484,27.96,0.54,0.97,rain,1015.43
485,485,28.21,0.54,1.26,rain,1015.4
486,486,28.46,0.53,1.65,rain,1015.36
487,487,28.71,0.53,2.07,rain,1015.33
488,488,28.96,0.52,2.52,rain,1015.3
489,489,28.83,0.52,2.92,rain,1015.24
490,490,28.71,0.53,3.34,rain,1015.19
491,491,28.58,0.53,3.76,rain,1015.13
492,492,28.46,0.53,4.18,rain,1015.07
493,493,28.73,0.53,3.98,rain,1015.0
494,494,29.01,0.52,3.77,rain,1014.93
495,495,29.28,0.51,3.57,rain,1014.86
496,496,29.55,0.51,3.37,rain,1014.79
497,497,29.52,0.51,3.63,rain,1014.73
498,498,29.48,0.51,3.95,rain,1014.66
499,499,29.44,0.5,4.32,rain,1014.6
500,500,29.41,0.5,4.72,rain,1014.53
501,501,29.16,0.51,4.7,rain,1014.49
502,502,28.91,0.52,4.7,rain,1014.44
503,503,28.65,0.53,4.72,rain,1014.39
504,504,28.4,0.53,4.75,rain,1014.35
505,505,27.9,0.56,4.45,rain,1014.33
506,506,27.41,0.6,4.15,rain,1014.32
507,507,26.91,0.63,3.85,rain,1014.3
508,508,26.41,0.66,3.55,rain,1014.29
509,509,26.28,0.67,3.23,rain,1014.31
510,510,26.16,0.68,2.95,rain,1014.33
511,511,26.03,0.69,2.75,rain,1014.35
512,512,25.9,0.7,2.63,rain,1014.37
513,513,25.58,0.72,2.49,rain,1014.42
514,514,25.27,0.74,2.36,rain,1014.47
515,515,24.94,0.76,2.24,rain,1014.52
516,516,24.63,0.79,2.12,rain,1014.57
517,517,24.44,0.79,1.78,rain,1014.64
518,518,24.25,0.79,1.45,rain,1014.71
519,519,24.06,0.8,1.13,rain,1014.78
520,520,23.87,0.8,0.83,rain,1014.85
521,521,23.64,0.82,0.59,rain,1014.92
522,522,23.41,0.84,0.4,rain,1014.99
523,523,23.17,0.86,0.35,rain,1015.07
524,524,22.93,0.88,0.49,rain,1015.14
525,525,22.64,0.87,0.79,rain,1015.2
526,526,22.34,0.87,1.1,rain,1015.26
527,527,22.05,0.86,1.4,rain,1015.31
528,528,20.49,0.9,0.86,rain,1015.51
529,529,20.45,0.9,0.72,rain,1015.49
530,530,20.4,0.91,0.57,rain,1015.46
531,531,20.36,0.91,0.43,rain,1015.44
532,532,20.31,0.91,0.29,rain,1015.41
533,533,20.24,0.91,0.49,rain,1015.37
534,534,20.18,0.92,0.72,rain,1015.32
535,535,20.12,0.92,0.95,rain,1015.28
536,536,20.05,0.92,1.18,rain,1015.23
537,537,19.87,0.92,1.31,rain,1015.19
538,538,19.68,0.92,1.43,rain,1015.14
539,539,19.49,0.92,1.56,rain,1015.09
540,540,19.31,0.92,1.69,rain,1015.05
541,541,19.24,0.92,1.75,rain,1015.01
542,542,19.18,0.92,1.81,rain,1014.97
543,543,19.11,0.92,1.88,rain,1014.94
544,544,19.05,0.92,1.94,rain,1014.9
545,545,19.15,0.94,2.13,rain,1014.89
546,546,19.24,0.95,2.32,rain,1014.87
547,547,19.34,0.96,2.51,rain,1014.86
548,548,19.44,0.97,2.7,rain,1014.85
549,549,19.3,0.96,2.39,rain,1014.86
550,550,19.16,0.95,2.08,rain,1014.87
551,551,19.02,0.94,1.78,rain,1014.88
552,552,23.68,0.66,2.09,rain,1015.38
553,553,24.22,0.63,2.03,rain,1015.4
554,554,24.77,0.61,2.01,rain,1015.43
555,555,25.31,0.58,2.03,rain,1015.45
556,556,25.86,0.55,2.09,rain,1015.48
557,557,26.35,0.54,1.54,rain,1015.47
558,558,26.85,0.53,0.99,rain,1015.47
559,559,27.35,0.52,0.45,rain,1015.47
560,560,27.85,0.51,0.12,rain,1015.47
561,561,28.13,0.49,0.48,rain,1015.43
562,562,28.41,0.48,0.98,rain,1015.4
563,563,28.68,0.47,1.49,rain,1015.37
564,564,28.96,0.45,2.0,rain,1015.34
565,565,29.01,0.45,2.11,rain,1015.28
566,566,29.05,0.45,2.24,rain,1015.22
567,567,29.09,0.45,2.38,rain,1015.17
568,568,29.14,0.45,2.54,rain,1015.11
569,569,29.17,0.46,2.67,rain,1015.04
570,570,29.19,0.48,2.8,rain,1014.97
571,571,29.22,0.5,2.93,rain,1014.9
572,572,29.24,0.52,3.07,rain,1014.83
573,573,29.26,0.51,3.01,rain,1014.77
574,574,29.27,0.5,2.99,rain,1014.7
575,575,29.29,0.5,3.01,rain,1014.63
576,576,29.3,0.49,3.06,rain,1014.57
577,577,29.21,0.49,3.12,rain,1014.52
578,578,29.12,0.5,3.2,rain,1014.48
579,579,29.03,0.5,3.27,rain,1014.43
